model-1603541615,1603541623.62,                            0.71,                            0.6043,                            0.69,                            0.6021
model-1603541615,1603541623.657,                            0.65,                            0.6009,                            0.74,                            0.5785
model-1603541615,1603541623.693,                            0.61,                            0.6656,                            0.76,                            0.5645
model-1603541615,1603541623.727,                            0.7,                            0.5947,                            0.67,                            0.604
model-1603541615,1603541623.766,                            0.63,                            0.6113,                            0.66,                            0.6186
model-1603541615,1603541623.801,                            0.64,                            0.615,                            0.61,                            0.6468
model-1603541615,1603541623.835,                            0.62,                            0.6285,                            0.6,                            0.6401
model-1603541615,1603541623.874,                            0.61,                            0.6805,                            0.69,                            0.5833
model-1603541615,1603541623.91,                            0.73,                            0.6192,                            0.64,                            0.6387
model-1603541615,1603541623.945,                            0.55,                            0.693,                            0.65,                            0.6309
model-1603541615,1603541623.983,                            0.67,                            0.61,                            0.71,                            0.5579
model-1603541615,1603541624.018,                            0.72,                            0.6125,                            0.64,                            0.5994
model-1603541615,1603541624.052,                            0.63,                            0.6685,                            0.6,                            0.6271
model-1603541615,1603541624.075,                            0.6,                            0.6899,                            0.59,                            0.6892
model-1603541615,1603541624.113,                            0.6,                            0.6689,                            0.57,                            0.6611
model-1603541615,1603541624.15,                            0.66,                            0.6074,                            0.52,                            0.721
model-1603541615,1603541624.185,                            0.65,                            0.6238,                            0.61,                            0.6674
model-1603541615,1603541624.222,                            0.59,                            0.6802,                            0.55,                            0.6336
model-1603541615,1603541624.257,                            0.55,                            0.6549,                            0.65,                            0.6279
model-1603541615,1603541624.291,                            0.67,                            0.6183,                            0.56,                            0.6794
model-1603541615,1603541624.329,                            0.62,                            0.6732,                            0.67,                            0.6212
model-1603541615,1603541624.363,                            0.77,                            0.5985,                            0.64,                            0.6271
model-1603541615,1603541624.398,                            0.71,                            0.5935,                            0.73,                            0.588
model-1603541615,1603541624.436,                            0.67,                            0.6091,                            0.69,                            0.6257
model-1603541615,1603541624.472,                            0.53,                            0.664,                            0.64,                            0.6681
model-1603541615,1603541624.507,                            0.66,                            0.6497,                            0.63,                            0.6378
model-1603541615,1603541624.546,                            0.62,                            0.6874,                            0.71,                            0.6514
model-1603541615,1603541624.581,                            0.6,                            0.6651,                            0.64,                            0.6398
model-1603541615,1603541624.615,                            0.55,                            0.6386,                            0.66,                            0.6331
model-1603541615,1603541624.654,                            0.64,                            0.6141,                            0.72,                            0.5852
model-1603541615,1603541624.689,                            0.71,                            0.5885,                            0.61,                            0.6346
model-1603541615,1603541624.723,                            0.66,                            0.6202,                            0.64,                            0.6366
model-1603541615,1603541624.761,                            0.63,                            0.6731,                            0.6,                            0.6515
model-1603541615,1603541624.796,                            0.68,                            0.5924,                            0.61,                            0.612
model-1603541615,1603541624.83,                            0.61,                            0.6118,                            0.56,                            0.6603
model-1603541615,1603541624.869,                            0.66,                            0.5902,                            0.69,                            0.581
model-1603541615,1603541624.903,                            0.69,                            0.6014,                            0.69,                            0.6048
model-1603541615,1603541624.938,                            0.66,                            0.6208,                            0.66,                            0.6552
model-1603541615,1603541624.976,                            0.63,                            0.6421,                            0.68,                            0.5963
model-1603541615,1603541625.01,                            0.68,                            0.6129,                            0.63,                            0.6404
model-1603541615,1603541625.044,                            0.66,                            0.6585,                            0.61,                            0.6374
model-1603541615,1603541625.081,                            0.57,                            0.6636,                            0.55,                            0.6803
model-1603541615,1603541625.121,                            0.73,                            0.5763,                            0.61,                            0.6485
model-1603541615,1603541625.156,                            0.65,                            0.6347,                            0.59,                            0.6707
model-1603541615,1603541625.194,                            0.62,                            0.6464,                            0.62,                            0.6202
model-1603541615,1603541625.228,                            0.62,                            0.6241,                            0.62,                            0.6516
model-1603541615,1603541625.262,                            0.7,                            0.6164,                            0.66,                            0.5855
model-1603541615,1603541625.3,                            0.63,                            0.6047,                            0.72,                            0.5815
model-1603541615,1603541625.334,                            0.66,                            0.5909,                            0.62,                            0.6354
model-1603541615,1603541625.368,                            0.71,                            0.6116,                            0.61,                            0.6399
model-1603541615,1603541625.407,                            0.76,                            0.5766,                            0.68,                            0.6062
model-1603541615,1603541625.442,                            0.69,                            0.6004,                            0.65,                            0.5946
model-1603541615,1603541625.476,                            0.68,                            0.6031,                            0.64,                            0.6255
model-1603541615,1603541625.515,                            0.71,                            0.5603,                            0.76,                            0.5421
model-1603541615,1603541625.549,                            0.55,                            0.6863,                            0.63,                            0.6375
model-1603541615,1603541625.583,                            0.62,                            0.6647,                            0.72,                            0.5999
model-1603541615,1603541625.622,                            0.6,                            0.6791,                            0.63,                            0.6284
model-1603541615,1603541625.657,                            0.56,                            0.6641,                            0.71,                            0.5776
